基金代码,公告标题,基金名称,公告日期,报告ID
000001,华夏成长：2012年半年度报告,华夏成长混合,2012-08-28,AN201208280005468375
000001,华夏成长：2012年半年度报告摘要,华夏成长混合,2012-08-28,AN201208280005468376
000001,华夏成长：2012年第三季度报告,华夏成长混合,2012-10-26,AN201210260005552019
000001,华夏成长：2012年第四季度报告,华夏成长混合,2013-01-21,AN201301210005703693
000001,华夏成长：2012年年度报告摘要,华夏成长混合,2013-03-28,AN201303280005813886
000001,华夏成长：2012年年度报告,华夏成长混合,2013-03-28,AN201303280005813864
000001,华夏成长:2013年第一季度报告,华夏成长混合,2013-04-19,AN201304190003188886
000001,华夏成长:2013年第二季度报告,华夏成长混合,2013-07-19,AN201307190003619190
000001,华夏成长:2013年半年度报告摘要,华夏成长混合,2013-08-26,AN201308260004263735
000001,华夏成长:2013年半年度报告,华夏成长混合,2013-08-26,AN201308260004263745
000001,华夏成长证券投资基金2013年第3季度报告,华夏成长混合,2013-10-24,AN201310230004542268
000001,华夏成长证券投资基金2013年第4季度报告,华夏成长混合,2014-01-20,AN201401200005007642
000001,华夏成长证券投资基金2013年年度报告,华夏成长混合,2014-03-26,AN201403260005316834
000001,华夏成长证券投资基金2013年年度报告摘要,华夏成长混合,2014-03-26,AN201403250005314721
000001,华夏成长证券投资基金2014年第1季度报告,华夏成长混合,2014-04-22,AN201404210005470754
000001,华夏成长证券投资基金2014年第2季度报告,华夏成长混合,2014-07-19,AN201407180006387331
000001,华夏成长证券投资基金2014年半年度报告,华夏成长混合,2014-08-25,AN201408250006763490
000001,华夏成长证券投资基金2014年半年度报告摘要,华夏成长混合,2014-08-25,AN201408250006763687
000001,华夏成长证券投资基金2014年第3季度报告,华夏成长混合,2014-10-24,AN201410230007403240
000001,华夏成长证券投资基金2014年第4季度报告,华夏成长混合,2015-01-22,AN201501210008184739
000001,华夏成长证券投资基金2014年年度报告摘要,华夏成长混合,2015-03-31,AN201503300009002748
000001,华夏成长证券投资基金2014年年度报告,华夏成长混合,2015-03-31,AN201503310009014136
000001,华夏成长证券投资基金2015年第1季度报告,华夏成长混合,2015-04-21,AN201504200009275463
000001,华夏成长证券投资基金2015年第2季度报告,华夏成长混合,2015-07-18,AN201507170010240166
000001,华夏成长证券投资基金2015年半年度报告,华夏成长混合,2015-08-29,AN201508290010663337
000001,华夏成长证券投资基金2015年半年度报告摘要,华夏成长混合,2015-08-29,AN201508280010657167
000001,华夏成长证券投资基金2015年第3季度报告,华夏成长混合,2015-10-27,AN201510260011185150
000001,华夏成长证券投资基金2015年第4季度报告,华夏成长混合,2016-01-20,AN201601210013208812
000001,华夏成长证券投资基金2015年年度报告摘要,华夏成长混合,2016-03-29,AN201603280014105194
000001,华夏成长证券投资基金2015年年度报告,华夏成长混合,2016-03-29,AN201603290014113511
000001,华夏成长证券投资基金2016年第1季度报告,华夏成长混合,2016-04-20,AN201604190014425861
000001,华夏成长证券投资基金2016年第2季度报告,华夏成长混合,2016-07-21,AN201607200016666246
000001,华夏成长证券投资基金2016年半年度报告摘要,华夏成长混合,2016-08-27,AN201608260017352162
000001,华夏成长证券投资基金2016年半年度报告,华夏成长混合,2016-08-27,AN201608270017358472
000001,华夏成长证券投资基金2016年第3季度报告,华夏成长混合,2016-10-25,AN201610250023680457
000001,华夏成长证券投资基金2016年第4季度报告,华夏成长混合,2017-01-19,AN201701190278269597
000001,华夏成长证券投资基金2016年年度报告摘要,华夏成长混合,2017-03-29,AN201703280445337770
000001,华夏成长证券投资基金2016年年度报告,华夏成长混合,2017-03-29,AN201703290447693024
000001,华夏成长证券投资基金2017年第1季度报告,华夏成长混合,2017-04-24,AN201704210521920211
000001,华夏成长证券投资基金2017年第2季度报告,华夏成长混合,2017-07-20,AN201707190729846078
000001,华夏成长证券投资基金2017年半年度报告(摘要),华夏成长混合,2017-08-26,AN201708250828084162
000001,华夏成长证券投资基金2017年半年度报告,华夏成长混合,2017-08-26,AN201708260830025023
