月份,NEV,ICE
2025-4月,51.7,48.3
2025-5月,52.7,47.3
2025-6月,49.8,50.2
2025-7月,52.9,47.1
2025-8月,52.2,47.8
2025-9月,53.4,46.6
2025-10月,55.0,45.0
2025-11月,56.9,43.1
2025-12月,56.0,44.0
2026-1月,43.8,56.2
2026-2月,47.5,52.5
2026-3月,48.1,51.9
