厂商,2021-9,9月同比,9月环比,2021-1到9,2020-1到9,2019-1到9
上汽大众,125019,-28.56%,-85.3%,850437,1031387.0,1392306.0
上汽通用,124032,10.94%,-86.25%,901911,656907.0,846232.0
上汽通用五菱,110422,3.28%,-83.35%,663108,460389.0,649480.0
吉利汽车,104279,-19.05%,-88.83%,933891,886699.0,964323.0
一汽大众,95110,-57.62%,-92.16%,1212740,1430131.0,1395356.0
长安汽车,89556,-12.11%,-90.28%,921038,660293.0,549759.0
上汽乘用车,82973,27.92%,-83.91%,515744,423936.0,488280.0
长城汽车,80014,-15.71%,-88.85%,717319,520339.0,625843.0
东风日产,79819,-38.14%,-89.73%,777381,816870.0,924648.0
比亚迪汽车,79447,92.13%,-82.32%,449436,264778.0,331183.0
广汽本田,71773,-17.68%,-86.87%,546456,542402.0,568060.0
奇瑞汽车,66706,56.8%,-88.2%,565142,266045.0,306708.0
东风本田,65423,-31.14%,-87.8%,536035,553302.0,575859.0
特斯拉汽车,56006,394.36%,-81.02%,295006,77898.0,
华晨宝马,51557,-8.47%,-89.78%,504335,450064.0,397498.0
广汽丰田,48300,-40.37%,-91.72%,583477,543449.0,496224.0
一汽丰田,45180,-46.53%,-92.32%,588236,561116.0,530224.0
长安福特,32022,15.48%,-84.86%,211488,163719.0,128224.0
北京奔驰,27520,-54.34%,-93.21%,405389,443813.0,398437.0
广汽乘用车,22930,-26.32%,-89.63%,221166,198184.0,263287.0
一汽红旗,20294,-5.69%,-89.9%,200998,123481.0,60680.0
北京现代,19390,-51.76%,-92.58%,261175,302816.0,450812.0
长安马自达,17357,16.52%,-81.37%,93148,94332.0,95845.0
东风乘用车,16467,159.45%,-78.43%,76342,45376.0,46933.0
东风柳汽,14463,59.37%,-84.19%,91497,63548.0,82855.0
江淮汽车,14054,32.99%,-87.85%,115689,80399.0,110592.0
广汽埃安新能源,13581,97.51%,-82.75%,78724,38828.0,13911.0
蔚来汽车,10628,125.74%,-83.99%,66395,26375.0,14257.0
小鹏汽车,10412,203.91%,-81.54%,56404,13017.0,13602.0
江苏悦达起亚,9307,-64.4%,-91.68%,111928,179839.0,215724.0
神龙汽车,8101,148.12%,-86.9%,61858,32038.0,92707.0
东风小康,7739,-27.79%,-89.89%,76568,67908.0,119254.0
合众汽车,7699,280.57%,-81.42%,41427,9246.0,7029.0
理想汽车,7094,102.45%,-87.16%,55270,18160.0,
朋克汽车,6959,695900%,-60.07%,17427,,
雷丁,6056,768.87%,-67.2%,18461,2828.0,
广汽三菱,5610,-20.2%,-87.42%,44582,46711.0,96414.0
易捷特,5365,7456.34%,-16.73%,6443,299.0,
吉利沃尔沃,5312,-61.34%,-94.2%,91545,83840.0,86082.0
一汽奔腾,5178,1.25%,-89.23%,48064,56849.0,74779.0
上汽大通,5049,14.36%,-86.02%,36120,28612.0,40432.0
威马汽车,5005,137.54%,-82.77%,29043,13886.0,10916.0
奇瑞捷豹路虎,4251,-30.02%,-89.55%,40690,40717.0,37810.0
零跑汽车,4095,290%,-85.28%,27817,3741.0,
鑫源汽车,4078,11.51%,-86.21%,29582,37416.0,37877.0
福建奔驰,3879,41.93%,-85.21%,26232,19886.0,20752.0
江铃汽车,3583,11.59%,-84.42%,23000,24331.0,37625.0
北京汽车,3504,-50.83%,-86.06%,25136,40286.0,37170.0
北汽越野,3076,33.04%,-83.47%,18605,12318.0,15376.0
吉麦新能源,2978,2819.61%,-76.65%,12756,102.0,
